repo_id,address,total_file_cnt,total_java_files,listener_pattern_cnt,visitor_pattern_cnt,enter_method_cnt,exit_method_cnt,enter_exit_method_cnt,visit_method_cnt
54,LiYing2010/SourceCounter,133,25,0,0,0,0,0,0
55,LuXugang/Lucene-7.5.0,25154,7786,0,0,0,0,0,45
56,MSPaintIDE/MSPaintIDE,276,166,0,0,0,0,0,0
57,MaritimeConnectivityPlatform/MaritimeCloud,505,428,0,0,0,0,0,2
58,MegaApuTurkUltra/Scratch-ApuC,307,202,0,0,2,2,2,4
59,MyersResearchGroup/iBioSim,2466,607,1,0,19,11,9,29
60,NVIDIA/grcuda,92,57,0,0,0,0,0,0
61,Netflix-Skunkworks/rewrite,205,13,0,0,0,0,0,0
62,OpenPlaceReviews/opendb,133,72,0,0,0,0,0,0
63,PEXPlugins/PermissionsEx,307,177,1,0,2,3,2,0
64,PennState/SCIMple-Identity,237,170,3,0,28,40,38,6
65,Pivotal-Field-Engineering/gemfire-fe,1116,828,1,0,0,53,0,0
66,ProgramRepair/SearchRepair,1096,60,0,0,0,0,0,0
67,Refactoring-Bot/Refactoring-Bot,194,151,0,0,0,0,0,0
68,RentTheRunway/alchemy,205,140,0,0,3,4,3,0
69,RichardGong/PlayWithCompiler,556,97,5,6,8,26,11,80
70,Riverside-Software/sonar-openedge,936,292,1,5,196,76,69,573
71,RoboZonky/robozonky,877,736,0,0,0,0,0,0
72,RubbaBoy/EmojIDE,256,117,0,0,0,0,0,0
73,RumbleDB/rumble,1361,372,0,1,0,0,0,109
74,SAP/vulnerability-assessment-tool,2431,1460,3,0,13,9,9,4
75,SINTEF-9012/bvr,2733,1259,0,0,0,0,0,1
76,SINTEF-9012/cloudml,617,440,0,2,0,0,0,35
77,STAMP-project/botsing,277,184,1,0,10,3,0,0
78,ShiftLeftSecurity/fuzzyc2cpg,245,153,2,0,75,50,50,0
79,Simulizer/Simulizer,568,193,2,0,8,2,1,3
80,Skyost/Algogo,312,172,0,1,0,0,0,33
81,SonarSource/slang,1422,486,0,1,0,0,0,40
82,Soothsilver/snowride,236,137,1,0,0,20,0,0
83,SpaceKrakens/SKON,43,0,0,0,0,0,0,0
84,Talend/components,4514,2434,1,0,2,0,0,2
85,TeamShadow/shadow,651,152,0,2,0,0,0,239
86,Toparvion/jmint,108,55,2,3,12,3,3,7
87,UCL-CREST/Siamese,18939,14942,0,0,0,0,0,0
88,UNIVALI-LITE/Portugol-Studio,2190,633,0,1,0,0,0,1145
89,XiaoMi/linden,647,192,1,0,2,60,2,4
90,YigWoo/toys,152,97,0,0,0,0,0,0
91,YouthLin/SNL-Compiler,109,22,0,0,0,0,0,0
92,abcdabcd987/compiler2016,343,115,1,0,0,41,0,0
93,abstools/abstools,1197,500,1,0,1,167,1,0
94,adamkewley/jobson,449,206,0,1,0,0,0,7
95,agacek/jkind,530,373,2,1,9,1,1,48
96,ahmetaa/zemberek-nlp,658,412,0,0,0,0,0,0
97,airbnb/SpinalTap,214,162,1,0,3,0,0,0
98,alchitry/Alchitry-Labs,694,201,17,0,30,195,30,0
99,alexec/antlr-tutorial,99,5,0,0,0,4,0,0
100,alibaba/simplehbase,343,283,0,6,0,0,0,47
101,aliyun/aliyun-odps-console,393,256,0,0,0,0,0,0
102,alpha-asp/Alpha,283,217,0,1,0,0,0,44
103,altairmn/COOL-Compiler,119,32,0,0,0,0,0,0
104,ankor-io/ankor-framework,5263,418,0,0,0,0,0,0
105,antlr/antlr4-intellij-adaptor,68,27,0,0,1,1,1,1
106,antlr/intellij-plugin-v4,202,108,0,0,0,0,0,3
107,antlr/jetbrains-plugin-sample,75,29,0,0,0,0,0,0
108,antlr/jetbrains-plugin-st4,80,30,0,0,0,0,0,0
109,antlr4ide/antlr4ide,531,79,0,0,0,0,0,0
110,antlrjavaparser/antlr-java-parser,287,248,1,0,0,1,0,0
111,aosp-mirror/platform_frameworks_support,14762,4062,0,0,0,0,0,1
112,apache/apex-malhar,2523,2024,1,0,0,13,0,9
113,apache/atlas,2146,840,0,1,0,0,0,7
114,apache/beam,6725,4103,0,2,41,0,0,66
115,apache/directory-scimple,258,182,3,0,28,40,38,6
116,apache/drill,5367,3832,0,8,0,0,0,869
117,apache/eagle,2702,1800,0,0,0,0,0,0
118,apache/groovy,4485,1646,0,1,0,0,0,829
119,apache/hive,19168,7014,0,1,0,0,0,184
120,apache/incubator-druid,6078,4540,1,0,1,20,1,0
121,apache/incubator-pinot,4531,2873,1,0,30,30,30,0
122,apache/incubator-tajo,1538,869,0,2,0,0,0,418
123,apache/incubator-tuweni,14864,476,0,9,0,0,0,41
124,apache/lucene-solr,12531,8502,0,0,0,0,0,52
125,apache/metron,3209,1342,2,0,6,22,4,6
126,apache/netbeans,79766,37529,0,3,204,8,1,1969
127,apache/plc4x,1651,964,2,0,37,25,21,0
128,apache/skywalking,3909,2525,1,0,19,4,3,0
129,apache/syncope,4373,2332,0,1,0,0,0,9
130,apache/systemml,4246,1730,0,0,11,92,17,0
131,apache/tajo,4124,1860,0,1,0,0,0,1031
132,apollographql/apollo-android,954,346,0,0,0,0,0,0
133,arcus-smart-home/arcusplatform,6737,4362,2,0,56,31,16,1
134,artist-project/ARTIST,14259,4706,0,0,0,4,0,0
135,asciidoctor/asciidoc-grammar-prototype,117,2,0,0,0,0,0,0
