repo_id,repo_name,total_file_cnt,total_java_files,listener_pattern_cnt,visitor_pattern_cnt,enter_method_cnt,exit_method_cnt,enter_exit_method_cnt,visit_method_cnt
345,metadata-ms,0,0,0,0,0,0,0
346,latexdraw,0,0,0,0,0,0,0
347,macrobase,0,0,0,0,0,0,0
348,sylph,0,0,0,0,0,0,0
349,credentials-plugin,0,0,0,0,0,0,0
350,graql,0,0,0,0,0,0,0
351,k3po,0,0,0,0,0,0,0
352,the-definitive-antlr4-reference-code,0,0,0,0,0,0,0
353,oddjob,0,0,0,0,0,0,0
354,mdmlang,0,0,0,0,0,0,0
355,antlr-denter,0,0,0,0,0,0,0
356,tiny-language-antlr4,0,0,0,0,0,0,0
357,drill,0,0,0,0,0,0,0
358,zemberek-nlp,0,0,0,0,0,0,0
359,bvr,0,0,0,0,0,0,0
360,iBioSim,0,0,0,0,0,0,0
361,athena,0,0,0,0,0,0,0
362,SQLParser,0,0,0,0,0,0,0
363,psl,0,0,0,0,0,0,0
364,ANNIS,0,0,0,0,0,0,0
365,kafka-connect-query-language,0,0,0,0,0,0,0
366,robozonky,0,0,0,0,0,0,0
367,sqat,0,0,0,0,0,0,0
368,geowave,0,0,0,0,0,0,0
369,ts-parser,0,0,0,0,0,0,0
370,snowride,0,0,0,0,0,0,0
371,GdxStudio,0,0,0,0,0,0,0
372,apidoc4j,0,0,0,0,0,0,0
373,pgcodekeeper,0,0,0,0,0,0,0
374,pmd,0,0,0,0,0,0,0
375,kafkasql,0,0,0,0,0,0,0
376,sql,0,0,0,0,0,0,0
377,linden,0,0,0,0,0,0,0
378,dhis2-core,0,0,0,0,0,0,0
379,bookish,0,0,0,0,0,0,0
380,Gaalop,0,0,0,0,0,0,0
381,Refactoring-Bot,0,0,0,0,0,0,0
382,DataFrame,0,0,0,0,0,0,0
383,DotNetCore-for-NetBeans,0,0,0,0,0,0,0
384,CrossMobile,0,0,0,0,0,0,0
385,alchemy,0,0,0,0,0,0,0
386,Scratch-ApuC,0,0,0,0,0,0,0
387,bigdata-sql-parser,0,0,0,0,0,0,0
388,cti-stix2-json-schemas,0,0,0,0,0,0,0
389,blaze-persistence,0,0,0,0,0,0,0
390,ingrid,0,0,0,0,0,0,0
391,mt-dynamo,0,0,0,0,0,0,0
392,RapidSmith2,0,0,0,0,0,0,0
393,cloudml,0,0,0,0,0,0,0
394,babyfish,0,0,0,0,0,0,0
395,slang,0,0,0,0,0,0,0
396,indexr,0,0,0,0,0,0,0
397,georocket,0,0,0,0,0,0,0
398,SqlParser,0,0,0,0,0,0,0
399,Algogo,0,0,0,0,0,0,0
400,etp,0,0,0,0,0,0,0
401,elassandra,0,0,0,0,0,0,0
402,rpgleparser,0,0,0,0,0,0,0
403,rrd-antlr4,0,0,0,0,0,0,0
404,ksql-fork-with-deep-learning-function,0,0,0,0,0,0,0
405,plc4x,0,0,0,0,0,0,0
406,clone_repositories.sh,0,0,0,0,0,0,0
407,beetl2.0,0,0,0,0,0,0,0
408,strongbox,0,0,0,0,0,0,0
409,Llunatic,0,0,0,0,0,0,0
410,octopus,0,0,0,0,0,0,0
411,parser,0,0,0,0,0,0,0
412,QuickProject,0,0,0,0,0,0,0
413,antlr4example,0,0,0,0,0,0,0
414,toys,0,0,0,0,0,0,0
415,castlemock,0,0,0,0,0,0,0
416,antlr4-python,0,0,0,0,0,0,0
417,antlr4-calculator,0,0,0,0,0,0,0
418,cava,0,0,0,0,0,0,0
419,antlr-plus,0,0,0,0,0,0,0
420,apt,0,0,0,0,0,0,0
421,openCypher,0,0,0,0,0,0,0
422,SearchRepair,0,0,0,0,0,0,0
423,FHIR,0,0,0,0,0,0,0
424,reactive-inspector,0,0,0,0,0,0,0
425,SourceCounter,0,0,0,0,0,0,0
426,abnffuzzer,0,0,0,0,0,0,0
427,AntlrListenerVisitorComparison,0,0,0,0,0,0,0
428,swift-js-transpiler,0,0,0,0,0,0,0
429,Eagle,0,0,0,0,0,0,0
430,PermissionsEx,0,0,0,0,0,0,0
431,services,0,0,0,0,0,0,0
432,jai-ext,0,0,0,0,0,0,0
433,JVM-Math-Language,0,0,0,0,0,0,0
434,parseq,0,0,0,0,0,0,0
435,HUSACCT,0,0,0,0,0,0,0
436,citeproc-java,0,0,0,0,0,0,0
437,smaccm,0,0,0,0,0,0,0
438,MSPaintIDE,0,0,0,0,0,0,0
